V1,V2,V3,V4,V5,V6
10256.59765625,10545.325,10852.619,11135.19,11448.607,11781.558
6491.09375,6919.4336,7354.189,7749.9023,8232.376,8562.25
6500.0244140625,6929.217,7364.6045,7760.9478,8243.838,8573.426
6776.71826171875,6740.3433,6780.122,6804.3516,6839.9707,6780.4214
2517.66845703125,2543.8447,2569.3782,2592.1204,2616.61,2645.7085
18659.27734375,18887.723,19109.943,19309.455,19511.854,19761.322
8215.2001953125,8299.141,8378.349,8452.906,8507.075,8564.047
18070.951171875,19316.754,20381.777,21657.625,22440.867,22637.555
20289.60546875,22062.22,23647.98,25671.223,25929.24,26034.56
9093.6025390625,9890.596,10712.074,11600.047,12413.175,12777.103
2795.93212890625,3037.8477,3272.4253,3534.7495,3724.5422,3782.6404
12403.8369140625,13653.926,14808.048,16109.246,16822.996,16957.693
2154.76611328125,2297.393,2421.4958,2559.2744,2664.0156,2694.0815
10191.2041015625,10420.048,10683.771,10880.072,11017.491,11205.629
10110.572265625,10237.148,10370.563,10487.584,10674.516,10833.352
10210.3515625,10463.98,10738.818,10991.162,11293.889,11589.148
9999.8251953125,10167.716,10157.516,10111.798,10245.145,10419.591
10521.751953125,10816.716,11061.216,11692.326,11324.615,11010.871
10388.6005859375,10850.001,11246.895,11606.97,12205.178,12696.191
13515.453125,13920.787,14325.008,14840.112,15539.609,15868.637
10723.6005859375,11107.738,11558.971,12089.449,12822.523,13401.321
10335.529296875,10697.172,11160.359,11623.985,12034.614,12173.871
10053.80859375,10132.694,10187.091,10258.673,10236.028,10227.839
10011.2431640625,10053.764,10122.718,10231.043,10287.714,10282.778
10253.0986328125,10524.338,10808.798,11072.521,11269.934,11519.467
9932.80078125,9956.789,10025.071,10028.583,10013.063,9989.49
10011.2626953125,10023.673,10104.287,10272.737,10195.982,9985.026
10415.8291015625,10891.943,11325.9,11768.682,12203.026,12536.012
10147.3125,10214.876,10265.693,10296.178,10255.237,10285.895
10053.146484375,10101.908,10167.882,10162.257,10213.86,10239.327
10115.599609375,10153.38,10174.448,10163.923,10223.932,10195.8125
10142.669921875,10254.544,10355.554,10425.065,10510.429,10531.546
10252.73046875,10585.057,10880.067,11212.454,11539.855,11726.136
9968.7724609375,10292.431,10632.281,10944.7295,11218.449,11477.089
4422.1533203125,4663.5723,4667.298,5172.9043,5370.4624,5309.6714
3629.421630859375,3801.843,3796.6506,3743.5444,3670.4048,3021.7913
4551.8583984375,4792.308,5027.855,5252.36,5509.7764,5727.542
10703.482421875,10646.6,10968.178,11351.573,11693.885,11397.846
9672.1953125,10022.416,10400.83,10759.357,11071.772,11383.867
3740.216796875,3741.5537,3736.772,3736.1829,3742.601,3742.725
1603.72607421875,1656.9318,1717.2433,1767.5996,1817.7349,1817.9458
2606.358154296875,2635.9868,2648.9524,2686.4438,2676.1528,2649.6516
9926.3857421875,9933.603,9810.516,10288.088,10070.423,9914.636
9639.228515625,9572.82,9500.263,9738.006,9359.668,9115.072
736.67822265625,825.0147,932.0105,1072.1929,1158.7394,1132.8496
6238.92529296875,6272.292,6319.845,6286.489,6201.103,6057.676
8016.7919921875,8098.0396,8295.65,8519.164,8533.408,8646.223
1487.882568359375,1433.6561,1581.0483,1596.3713,1869.1567,1837.0886
8034.07861328125,8008.0723,8105.7183,8071.1914,8121.8853,8145.5933
6696.556640625,6709.3125,6703.0146,6715.0728,6721.58,6690.8594
6470.71435546875,6475.6616,6480.858,6462.9375,6474.851,6486.2607
7367.5263671875,7426.9805,7477.896,7512.6367,7528.6973,7589.8613
6435.7470703125,6459.7026,6465.459,6480.2637,6487.2764,6487.501
8836.6181640625,8829.945,8872.989,8878.347,8840.28,8827.6
8130.29296875,8162.786,8178.4004,8223.934,8237.842,8260.648
8350.376953125,8377.351,8385.706,8469.49,8395.317,8317.626
1561.514404296875,1615.4781,1602.5232,1499.1377,1555.8018,1615.8998
8943.6669921875,8969.276,8957.46,9019.343,9061.616,8993.557
3648.614013671875,3662.3801,3707.8174,3768.9958,3824.2446,3917.1802
1799.3680419921875,1829.9613,1855.873,1862.9747,1874.8058,1914.374
2053.862060546875,2052.3494,2058.3572,2067.2974,2047.4069,2044.737
2146.12451171875,2140.8594,2141.4878,2152.6343,2176.2297,2144.1902
3128.517822265625,3124.2368,3164.4873,3235.7092,3184.6394,3132.3862
1181.5009765625,1161.0673,1162.8416,1150.4451,1124.6777,1146.3511
2602.29931640625,2578.5994,2610.2622,2645.5996,2592.1106,2607.6665
2008.748046875,2022.4901,2022.6732,2034.776,2053.52,2014.4373
2673.973388671875,2707.6245,2736.5603,2723.9646,2761.2844,2744.0557
1254.0943603515625,1262.1556,1266.0173,1280.257,1284.667,1276.0126
1818.90283203125,1820.3848,1821.3038,1832.1855,1824.2885,1821.0834
1915.6278076171875,1892.0349,1896.5576,1882.397,1898.9583,1880.0067
1634.4200439453125,1640.3407,1631.113,1648.8472,1647.748,1647.5781
2200.295654296875,2182.658,2204.2834,2193.949,2204.3403,2196.5288
2110.87060546875,2149.9658,2161.647,2097.0352,2129.6018,2119.0005
1808.7984619140625,1858.5621,1893.8416,1902.1046,1934.0426,1942.0411
2487.0859375,2491.6877,2502.0142,2497.0366,2500.4927,2503.6013
2075.30078125,2070.6973,2179.7427,2168.9763,2333.3228,2240.9185
3653.548828125,3727.7466,3726.249,3560.9475,3632.9543,3731.5032
2111.02734375,2142.6692,2131.273,2169.4263,2127.0952,2186.2764
2397.662353515625,2427.5051,2470.0283,2480.3047,2509.3125,2563.8235
2569.84228515625,2615.074,2698.476,2696.631,2698.0112,2777.086
7947.03466796875,7920.1177,7913.9785,7915.283,7886.308,7886.2246
4220.19677734375,4276.356,4449.6885,4809.7134,4526.8667,4525.246
7093.5595703125,7008.032,7032.9873,7030.2876,7065.6387,6973.735
9522.3154296875,9481.875,9496.806,9459.783,9582.938,9589.662
3429.53759765625,3378.2705,3350.2954,3361.5205,3305.048,3279.5283
6746.72021484375,6760.293,6784.6323,6797.4385,6814.965,6824.5176
8292.1083984375,8294.264,8285.343,8340.331,8355.719,8357.785
7254.552734375,7253.301,7261.248,7270.799,7275.529,7272.2856
4865.69775390625,5204.9355,5520.9277,5844.4297,6097.427,6318.951
10954.4208984375,11457.997,11931.035,12483.924,12927.121,13105.117
8751.330078125,9136.049,9595.756,10025.851,10276.33,10309.359
3409.27734375,3597.128,3806.7983,4038.3542,4320.468,4506.141
3370.915771484375,3509.8438,3642.0938,3773.7104,3907.8066,4027.1948
11571.3232421875,11715.465,11878.707,12051.953,12196.254,12236.3955
10300.03515625,10790.092,11222.193,11722.805,12087.123,12239.145
6268.552734375,6508.412,6740.887,6919.159,7121.899,7246.165
4322.69580078125,4539.293,4779.1562,4963.9316,5254.1733,5536.952
4774.1337890625,4743.493,4731.45,4817.8486,4757.713,4920.226
4579.3046875,4819.778,5075.954,5319.5947,5536.3135,5720.6455
5279.599609375,5483.1514,5668.7695,5880.449,6016.122,6062.3076
13128.63671875,13900.41,14600.359,15280.166,15984.14,16431.535
8190.94580078125,8282.18,8504.231,8836.64,8915.141,8841.762
2263.676025390625,2397.9229,2522.9536,2651.2395,2787.102,2868.251
6811.79150390625,6963.8887,7147.8896,7268.552,7411.611,7556.7886
2938.03564453125,3088.99,3243.1724,3386.581,3544.8853,3658.001
8742.005859375,8983.14,9243.357,9536.938,9631.245,9764.365
2006.5201416015625,2083.8389,2153.499,2205.9119,2257.72,2350.92
7871.2490234375,8072.947,8281.0625,8610.316,8798.454,9098.821
10102.845703125,10383.783,10911.34,11254.6875,11608.072,11759.794
3264.81787109375,3301.7183,3307.4116,3344.8655,3359.65,3346.8428
12223.98828125,12726.161,13257.808,13771.829,14146.662,14710.369
3343.60009765625,3476.4802,3601.5706,3727.0352,3856.5928,3941.7256
3157.7568359375,3327.9683,3517.3467,3725.7954,3977.9634,4143.543
3367.60888671875,3505.8828,3637.8667,3769.8486,3903.194,4024.1929
5300.42236328125,5587.782,5900.5776,6223.5205,6384.1567,6453.131
3070.079345703125,3147.0442,3223.7368,3314.2788,3361.831,3386.5488
9122.4560546875,9111.285,9115.569,9140.262,9201.529,9181.0625
11895.0810546875,12359.966,12788.261,13213.587,13627.789,14032.672
3061.084716796875,3205.002,3334.247,3498.5874,3588.8376,3609.4902
7097.0751953125,7214.8228,7331.7837,7418.4507,7487.9033,7644.3936
9956.90234375,10419.807,10878.225,11375.074,11685.314,11886.591
15760.98046875,16636.207,17777.21,19058.45,19474.672,19690.422
13634.3134765625,14117.596,14653.466,15101.079,15657.367,16123.59
3391.605712890625,3522.5725,3643.8994,3789.437,3831.6855,3842.5537
8752.646484375,9173.582,9637.274,10148.746,10538.906,10649.0
6530.68994140625,6806.233,7065.833,7371.672,7566.795,7636.5986
3214.938232421875,3346.0547,3489.1719,3639.6875,3824.471,3942.594
2136.2568359375,2185.2612,2204.9492,2157.3987,2178.752,2192.1921
18563.4375,19006.79,19417.201,19785.982,20195.852,20704.932
3275.60009765625,3378.3948,3474.5977,3569.8862,3643.532,3758.9182
3566.524169921875,3600.2375,3609.125,3620.8694,3626.1177,3629.6572
1122.696533203125,1118.6199,1125.8647,1151.1614,1163.7021,1165.0612
4082.711181640625,4268.1997,4466.08,4640.6323,4787.563,4973.8804
1598.4901123046875,1668.5918,1764.8674,1876.1443,1920.2007,1959.1968
1968.7891845703125,1979.4166,2013.6453,2015.9099,2044.8574,2036.9545
4104.93603515625,4226.481,4384.5776,4502.4053,4586.172,4652.5625
8926.7373046875,9205.396,9550.902,9929.17,10276.658,10383.587
2243.0498046875,2300.9846,2354.031,2410.2444,2424.0762,2450.312
11661.03125,11966.426,12242.868,12524.239,12810.314,12996.258
2025.0643310546875,2054.0415,2082.737,2111.432,2142.7473,2167.891
1335.975830078125,1331.9547,1331.4886,1326.9454,1328.2522,1327.7743
2051.064697265625,2062.7158,2073.5945,2084.037,2092.764,2104.8467
4601.35693359375,4631.2715,4661.5977,4690.0854,4721.874,4753.913
2221.94384765625,2220.286,2219.4453,2218.3674,2217.7363,2217.9062
10039.09375,10180.809,10316.281,10448.311,10593.221,10738.367
7831.9462890625,7649.33,7685.04,7429.772,7497.5635,7904.982
4323.81591796875,4443.32,4544.181,4726.576,4836.0146,4902.8423
5179.78515625,5207.5767,5165.625,5168.8486,5192.5063,5233.9995
10971.283203125,10932.287,11054.446,10646.032,10900.038,11102.09
9074.3798828125,8973.706,8926.897,8806.338,8909.791,9221.027
12592.458984375,12522.602,12648.57,12371.752,12700.822,13351.265
10481.7783203125,10458.04,10440.121,10199.754,10278.124,10843.898
3320.911865234375,3330.5193,3311.037,3265.739,3288.5383,3406.7703
5604.93505859375,5594.9785,5492.7764,5655.224,5537.0796,5744.63
6815.03662109375,6790.8657,6816.1187,6794.41,6854.762,6829.1704
4698.078125,4745.511,4817.925,4746.661,4823.7295,4835.5796
5198.9365234375,5222.6865,5198.2603,5120.5957,5165.8203,5253.998
7928.25927734375,7988.2124,7920.591,7957.216,7892.487,8360.873
5754.6982421875,5884.339,5982.365,6042.561,6313.064,6438.644
10874.7314453125,10685.164,10769.521,10491.501,10675.735,10761.967
3279.115234375,3272.9658,3335.2158,3415.897,3311.6948,3296.0361
4846.36376953125,4758.841,4772.048,4730.7646,4716.9854,5021.6943
3301.892578125,3338.749,3351.212,3316.8213,3346.8154,3374.5046
9122.220703125,9024.886,8976.901,8854.299,8958.123,9276.134
7506.96826171875,7488.651,7661.1797,7522.03,7960.577,7889.374
3022.30029296875,3024.5984,2999.9192,2991.1143,3014.0393,3082.7324
5061.0146484375,4992.7686,5011.1914,4940.3584,4941.6167,5343.6016
4708.908203125,4755.0195,4825.628,4757.9033,4831.9595,4845.9414
4913.24462890625,5257.3574,5191.216,6939.0986,6260.6084,5730.2637
2941.42333984375,2971.0999,2971.657,2979.5269,2984.0015,3009.1038
7629.4345703125,7636.6045,7549.163,7676.376,7694.836,7719.5854
4768.30712890625,4748.536,4734.133,4752.667,4730.7246,4727.5327
3035.024169921875,3063.1665,3060.0845,3040.6992,3032.3433,3097.1826
8682.8291015625,8467.607,8755.065,9099.691,8829.393,10336.0625
1438.3250732421875,1435.791,1453.9913,1390.905,1429.5186,1449.189
8234.7119140625,8620.613,8952.093,9315.796,9569.826,9616.926
11433.271484375,11413.559,11343.734,11436.106,11462.861,11357.003
1517.890380859375,1526.3682,1523.6832,1500.7704,1510.493,1580.6509
9751.171875,9536.538,9345.819,10256.201,9872.316,10378.41
6906.94677734375,6930.4746,6893.6294,6804.6694,6861.3467,6990.492
10609.876953125,10445.139,10388.719,10124.463,10320.365,10536.964
1169.5296630859375,1152.3527,1163.6763,1115.9738,1153.4418,1196.4419
9587.560546875,9504.04,9582.081,9452.397,9547.156,9530.039
4214.1748046875,4207.282,4378.507,4468.917,4400.0137,4323.6597
4216.5048828125,4205.452,4190.153,4200.205,4138.793,4103.818
5138.734375,5183.3594,5272.7207,5438.695,5482.9214,5394.442
1134.249267578125,1119.7495,1126.5908,1106.6556,1118.863,1125.5707
4973.57666015625,4872.4463,4957.155,4723.9604,4826.504,5245.772
6353.11328125,6365.4556,6406.6797,6417.6914,6435.923,6369.401
9717.79296875,9666.235,9771.133,9454.637,9647.627,9831.7705
7478.326171875,7515.958,7551.577,7585.87,7617.577,7565.639
7528.8857421875,7656.3975,7827.588,7880.4893,8261.236,8783.144
7367.9580078125,7466.0127,7638.351,7782.006,7691.8184,7832.364
3810.125732421875,3827.7883,3791.6643,3763.8079,3777.9717,3849.2954
3595.3828125,3581.764,3580.4956,3624.1257,3908.4907,3795.002
3879.66943359375,4150.485,4420.2026,4663.457,4953.898,5232.6855
7058.4580078125,7586.0615,8061.834,8503.685,9004.035,9443.527
2641.3134765625,2636.5422,2649.4187,2667.1455,2644.8582,2629.8105
4032.061767578125,4026.3574,4032.4775,4050.8088,4060.9575,4040.4985
19455.59765625,20286.35,21108.125,21902.734,22760.223,23355.855
14754.8642578125,15429.083,16229.359,16854.744,17445.56,18200.316
9670.90625,10253.363,10800.27,11032.273,11354.677,11612.123
9130.4169921875,9662.158,10139.21,10717.045,11091.98,11200.129
6237.9150390625,6408.116,6638.4395,6918.808,6986.5586,7056.7793
17168.4765625,17958.59,18713.055,19610.332,19860.818,19867.098
4109.04150390625,4290.5894,4457.6626,4626.032,4844.207,5002.264
3293.998779296875,3512.9814,3736.7173,3981.333,4178.092,4241.9644
12383.302734375,13039.639,13674.924,14282.221,14947.322,15435.039
11662.125,12320.386,13002.143,13743.8125,14340.054,14690.106
10230.958984375,10259.669,10295.401,10336.6455,10359.463,10389.971
9582.0166015625,9632.947,9680.4,9714.555,9748.282,9790.729
10033.642578125,9990.124,9975.409,10014.3,10012.652,9992.246
8432.3564453125,8420.478,8361.76,8405.403,8391.786,8322.851
4559.7255859375,4695.146,4811.925,4978.3687,5170.473,5179.6567
7217.76025390625,7286.965,7394.967,7446.9097,7538.6934,7589.5044
10241.517578125,10710.292,11195.013,11617.227,12043.304,12300.164
3663.2451171875,3765.8804,3865.4363,3953.529,4062.5972,4173.8164
1972.097900390625,1988.4594,1981.4073,2004.7798,1995.6671,2016.9088
7321.123046875,7444.935,7531.9995,7651.072,7632.45,7668.9805
3242.51611328125,3357.8367,3468.4885,3574.9146,3672.84,3802.1296
4252.2265625,4308.9434,4380.448,4422.5913,4450.9746,4503.0566
1119.0228271484375,1115.02,1122.799,1148.2604,1161.0494,1162.2057
3219.81005859375,3203.6746,3222.6233,3271.834,3224.662,3275.0354
2266.959716796875,2283.122,2300.3994,2308.455,2300.43,2311.1997
12416.3115234375,12852.347,13279.891,13752.933,14274.588,14631.609
6911.3232421875,6916.9834,6928.788,6886.967,6884.578,6813.6836
2625.6083984375,2707.574,2778.7073,2848.9243,2879.5198,2885.0479
1993.4564208984375,2028.8584,2062.693,2088.3484,2091.665,2122.7307
10362.2138671875,10651.91,10933.332,11166.029,11454.618,11750.271
4390.04443359375,4459.7573,4518.551,4587.5117,4645.2,4650.8135
9821.673828125,10005.761,10220.272,10559.157,10799.921,10998.568
13292.93359375,13878.701,14421.933,14931.898,15496.383,16043.197
6992.4453125,7173.0522,7367.69,7680.5264,7778.281,7865.2314
1690.4974365234375,1750.5566,1818.7064,1876.5142,1954.8696,2006.904
2294.9501953125,2394.7915,2490.365,2581.1213,2686.4148,2773.8477
8266.4638671875,8236.888,8271.057,8373.98,8363.033,8365.186
4829.3544921875,5035.46,5242.5566,5424.575,5468.4526,5530.8945
3868.718994140625,3836.695,3877.2742,3822.7551,3845.5554,3831.8137
1964.098876953125,2027.2151,2085.413,2150.805,2202.872,2237.6333
990.6577758789062,987.78625,991.0302,997.6835,985.3751,985.96075
2659.69677734375,2729.355,2809.3738,2875.5625,2934.7844,3011.0781
2326.48388671875,2461.8604,2608.0657,2748.0806,2798.13,2820.9417
7415.89697265625,7319.2754,7590.0557,7399.956,7993.839,8393.844
4802.5703125,5030.1074,5253.092,5487.4336,5577.3555,5582.1587
8213.0341796875,8379.816,8537.027,8684.9,8838.715,8985.721
8661.474609375,8831.835,9129.456,9287.114,9572.47,9639.5
3663.08056640625,3765.4924,3864.828,3952.7236,4061.7905,4172.2266
10825.962890625,11198.153,11550.182,11886.982,12194.223,12566.278
4189.55322265625,4489.364,4768.9805,5065.581,5342.7725,5484.6475
3136.998779296875,3195.96,3253.8762,3305.4897,3359.0571,3425.2205
7645.32763671875,7706.7876,7796.991,7759.7715,7800.533,7814.3564
4031.22216796875,4099.146,4168.1914,4227.6704,4279.0933,4296.195
1132.5494384765625,1134.6265,1137.6467,1133.2701,1132.0104,1136.2975
10351.203125,10641.473,10922.8955,11155.276,11433.805,11732.818
8342.7451171875,8462.844,8340.176,8704.557,8405.297,8472.156
6902.91796875,6955.869,7086.3613,7118.592,7325.7363,7450.8584
9096.9619140625,9249.882,9482.035,9695.702,9712.793,9857.607
8177.69970703125,8244.41,8284.074,8322.374,8422.5,8401.689
1071.5322265625,1088.0605,1106.4125,1123.045,1128.6257,1131.1111
4554.4814453125,4563.8813,4553.697,4562.137,4566.0884,4582.184
1727.63671875,1727.0441,1727.1075,1741.827,1733.3157,1739.3334
7351.64794921875,7358.3486,7359.269,7313.2183,7336.2964,7386.73
3277.36279296875,3359.8074,3440.086,3539.1235,3606.377,3664.898
2420.524658203125,2427.1755,2421.1714,2433.7942,2431.702,2436.7454
3924.79052734375,3885.7043,4040.411,3889.5737,3983.428,4254.605
4062.022216796875,4077.4146,4218.0854,4271.548,4307.6245,4426.7036
4778.7958984375,4788.148,4783.487,4806.294,4810.9395,4814.5005
1416.9053955078125,1427.8345,1420.4653,1418.3376,1424.2451,1430.4073
2072.11279296875,2054.013,2095.4978,2063.8472,2181.0159,2286.7942
1724.5596923828125,1723.975,1723.5088,1736.0269,1728.7003,1734.6707
2120.6796875,2107.862,2112.6426,2098.149,2098.8418,2102.815
1799.9140625,1821.6439,1818.924,1773.4414,1797.7931,1808.229
8757.4453125,8532.665,8672.749,7986.0474,8329.619,8907.908
2692.106689453125,2683.5586,2713.5938,2706.189,2716.3423,2725.605
3383.5712890625,3457.9597,3520.397,3527.5095,3574.3865,3604.7612
4054.477783203125,4094.184,4136.115,4163.4087,4197.113,4233.519
8743.3310546875,8876.043,8957.872,9073.748,9044.798,9081.026
5015.06884765625,5060.3125,5121.35,5149.7065,5167.4575,5197.6694
1665.2877197265625,1690.7424,1723.1385,1736.2122,1737.5057,1752.2983
1540.23828125,1541.5853,1554.6232,1574.6061,1578.7755,1572.6509
1417.890869140625,1419.8523,1420.2781,1418.7952,1423.2379,1422.5436
1155.116455078125,1164.965,1177.0851,1177.8024,1191.4497,1196.2775
6124.830078125,6325.6807,6548.2905,6765.0796,6889.6074,7060.465
3871.2861328125,3856.139,3860.9817,3740.7922,3874.376,4091.8818
10023.2568359375,10414.492,10793.844,11146.548,11497.689,11819.519
6079.72509765625,6071.0576,6079.9106,6133.628,6086.153,6117.064
12273.775390625,12584.02,12886.87,13118.239,13421.77,13744.689
6399.28125,6524.66,6659.719,6738.875,6891.5264,7000.046
4174.025390625,4178.085,4180.6123,4190.324,4195.9263,4195.928
8067.09765625,8264.064,8457.643,8690.787,9017.213,9025.029
8712.7548828125,8973.355,9244.047,9557.35,9651.371,9668.959
989.668701171875,985.976,989.7985,1003.2189,1000.2397,999.56805
7886.86083984375,8060.9824,8225.951,8407.063,8551.791,8628.377
6059.7724609375,6205.219,6334.303,6458.716,6533.4614,6528.129
4132.23828125,4252.2197,4364.6577,4474.78,4605.6035,4717.5728
4357.814453125,4492.287,4599.6587,4652.6777,4740.732,4832.999
1561.57177734375,1598.2959,1614.3436,1609.1278,1615.1664,1673.435
2364.072265625,2370.9802,2369.929,2363.1147,2370.6565,2373.914
2939.775390625,2941.7478,2944.689,2954.407,2988.1516,2980.2544
5028.509765625,5111.3486,5259.928,5423.1064,5440.969,5540.506
12600.44140625,12765.051,12929.027,13040.133,13284.809,13467.186
1984.5625,1994.9657,2018.7892,2015.6528,2035.3837,2023.6606
5141.896484375,5199.509,5250.6157,5252.4287,5261.795,5298.513
2417.3056640625,2425.8774,2453.2295,2461.006,2529.239,2582.6492
2234.13330078125,2252.8945,2276.7422,2292.0632,2295.24,2313.9238
3587.46875,3618.7163,3643.5222,3666.1685,3654.837,3664.6182
1701.5390625,1738.041,1750.6803,1740.3057,1750.7656,1814.978
1180.238037109375,1182.821,1188.7769,1180.2062,1201.2842,1200.8043
1469.8094482421875,1465.2037,1467.4043,1467.6606,1460.0295,1463.8291
12181.3701171875,12231.699,12394.933,12269.415,12747.108,12965.519
1811.4925537109375,1842.2135,1870.7521,1896.8987,1923.6147,1947.9557
2701.379150390625,2688.269,2705.4329,2729.3792,2696.4363,2684.3167
1557.7333984375,1573.147,1588.8809,1601.837,1610.8943,1625.94
5983.45458984375,6031.5205,6096.419,6173.692,6176.0195,6187.4463
1069.5745849609375,1064.3003,1069.229,1076.102,1071.2806,1073.1055
7711.83251953125,7714.665,7718.683,7775.254,7814.855,7799.677
5424.47607421875,5575.296,5757.536,5903.547,6121.568,6259.328
4440.53466796875,4562.448,4711.9653,4831.073,4947.4604,5068.5337
1532.9888916015625,1559.5721,1585.4282,1610.4236,1634.254,1661.0555
1334.9576416015625,1344.3167,1353.3907,1362.2709,1372.1943,1381.1534
2670.003662109375,2713.0027,2753.5012,2792.6294,2834.319,2881.2334
2297.463623046875,2371.084,2442.8577,2514.3188,2592.9775,2652.6467
20521.78125,21703.637,22813.504,24054.473,24929.934,25134.402
11692.494140625,12484.629,13340.361,14281.32,15050.141,15182.814
19181.779296875,20065.805,20923.928,21759.027,22795.219,23730.004
2214.850341796875,2170.3936,2202.0823,2202.507,2210.5898,2159.8398
3705.189208984375,3865.7844,4012.1865,4150.445,4298.0483,4422.486
8726.55859375,9184.224,9600.41,10046.87,10471.047,10681.811
6271.029296875,6748.698,7268.874,7754.2393,8297.79,8834.289
6325.65380859375,6354.5703,6408.4707,6494.255,6968.6865,6844.868
2474.821044921875,2560.698,2648.6394,2734.842,2849.2773,2935.1716
3852.93115234375,4029.9707,4206.5435,4397.6978,4597.2207,4758.754
1888.22216796875,1942.8445,2006.0183,2088.7925,2113.6926,2134.541
10647.3955078125,10971.014,11295.862,11643.845,11803.783,11815.912
4738.10888671875,5018.9116,5359.241,5700.317,5999.585,6105.441
3316.4208984375,3529.3975,3745.3784,3978.068,4192.752,4298.1494
2602.25634765625,2723.4202,2839.8613,2977.6262,3027.625,3034.8994
14484.4921875,15586.277,16813.51,18121.408,19032.395,19175.521
19894.04296875,20710.375,21533.69,22396.672,23320.98,24172.656
4326.412109375,4483.3896,4642.587,4829.2144,4881.3027,4886.3564
5249.4580078125,5461.1597,5657.248,5874.0713,6092.326,6203.798
10254.052734375,10739.786,11216.912,11865.92,12437.846,12743.923
8482.958984375,8847.867,9440.132,10095.727,10266.8545,10377.648
10420.732421875,10698.895,11025.34,11562.818,11764.383,12357.332
2051.412841796875,2116.3325,2175.1921,2243.448,2311.981,2357.9487
6100.48046875,6524.2295,6923.0664,7435.1816,7523.6436,7549.3457
8981.505859375,9218.264,9542.832,9846.984,10163.725,10273.08
3546.36865234375,3793.6074,4047.6624,4338.997,4523.9395,4574.4443
10310.76171875,10838.325,11396.9375,11923.41,12333.273,12455.756
3774.59814453125,3939.3557,4125.4814,4302.6416,4528.912,4706.931
11777.0859375,12703.85,13836.186,14983.418,16226.262,17271.477
2290.75830078125,2446.331,2628.914,2810.1304,2927.8208,2944.7617
15634.0634765625,16024.948,16408.291,16768.367,17130.617,17559.773
1129.25146484375,1063.5858,1098.4071,989.4105,1007.6935,1006.36584
2277.8935546875,2448.6965,2635.7654,2827.209,3017.2666,3081.9495
